,category,product_brand,product_name,date,quantity,price
1,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,8/9/2018,1,3.9
2,OLDER SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,2/25/2019,2,7.2
3,RETIREES,WOOLWORTHS,WW Crinkle Cut      Original 175g,1/21/2019,1,1.7
4,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,5/22/2019,2,3.4
5,RETIREES,Doritos,Doritos Cheese      Supreme 330g,11/3/2018,2,11.4
6,MIDAGE FAMILIES,Cheetos,Cheetos Chs & Bacon Balls 190g,9/12/2018,2,6.6
7,RETIREES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,7/18/2018,2,3.8
8,OLDER FAMILIES,Red,Red Rock Deli Thai  Chilli&Lime 150g,4/15/2019,2,5.4
9,OLDER SINGLES/FAMILIES,Pringles,Pringles Chicken    Salt Crips 134g,12/24/2018,2,7.4
10,MIDAGE SINGLES/FAMILIES,Pringles,Pringles Chicken    Salt Crips 134g,12/20/2018,2,7.4
11,YOUNG FAMILIES,Pringles,Pringles SourCream  Onion 134g,6/28/2019,2,7.4
12,RETIREES,Infuzions,Infuzions Mango     Chutny Papadums 70g,1/17/2019,2,4.8
13,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,10/29/2018,2,7.4
14,RETIREES,Grain,Grain Waves         Sweet Chilli 210g,5/30/2019,2,7.2
15,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,7/17/2018,2,9.2
16,YOUNG FAMILIES,WOOLWORTHS,WW Crinkle Cut      Original 175g,2/11/2019,2,3.4
17,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,8/25/2018,2,3.4
18,OLDER FAMILIES,RRD,RRD Salt & Vinegar  165g,1/17/2019,2,6
19,YOUNG SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,12/19/2018,2,7.4
20,RETIREES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,8/20/2018,1,4.6
21,RETIREES,Cheetos,Cheetos Puffs 165g,8/26/2018,2,5.6
22,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,3/1/2019,2,9.2
23,OLDER FAMILIES,Tostitos,Tostitos Smoked     Chipotle 175g,3/13/2019,2,8.8
24,OLDER FAMILIES,Doritos,Doritos Corn Chips  Original 170g,3/3/2019,2,8.8
25,YOUNG FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,7/29/2018,2,6
26,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4/11/2019,2,9.2
27,OLDER FAMILIES,WOOLWORTHS,WW Original Stacked Chips 160g,9/28/2018,2,3.8
28,MIDAGE SINGLES/FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,12/3/2018,2,3.8
29,NEW FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,9/3/2018,2,7.6
30,MIDAGE SINGLES/FAMILIES,Pringles,Pringles Mystery    Flavour 134g,12/24/2018,2,7.4
31,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,8/16/2018,5,19
32,YOUNG FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,7/8/2018,2,7.6
33,OLDER FAMILIES,Cheetos,Cheetos Puffs 165g,9/25/2018,2,5.6
34,MIDAGE FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,8/22/2018,2,7.6
35,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,7/25/2018,2,10.8
36,OLDER FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,2/14/2019,2,3.6
37,OLDER FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,10/7/2018,2,9.2
38,YOUNG FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,5/5/2019,2,7.8
39,YOUNG SINGLES/FAMILIES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,10/26/2018,2,10.8
40,MIDAGE FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,2/26/2019,2,7.6
41,OLDER FAMILIES,Doritos,Doritos Mexicana    170g,2/24/2019,2,8.8
42,OLDER SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,6/29/2019,2,7.4
43,OLDER SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,4/5/2019,2,7.6
44,OLDER FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,4/10/2019,2,8.4
45,OLDER SINGLES/FAMILIES,Cheetos,Cheetos Puffs 165g,5/1/2019,2,5.6
46,RETIREES,Kettle,Kettle Sensations   BBQ&Maple 150g,6/4/2019,2,9.2
47,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,11/21/2018,2,7.8
48,YOUNG FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,4/21/2019,2,7.6
49,YOUNG FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,11/22/2018,2,9.2
50,OLDER FAMILIES,Pringles,Pringles Chicken    Salt Crips 134g,1/10/2019,2,7.4
51,YOUNG FAMILIES,WOOLWORTHS,WW Original Stacked Chips 160g,8/10/2018,2,3.8
52,RETIREES,Pringles,Pringles Barbeque   134g,10/26/2018,2,7.4
53,NEW FAMILIES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,1/27/2019,2,7.6
54,OLDER FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,6/25/2019,2,7.6
55,OLDER SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,12/17/2018,2,7.6
56,YOUNG FAMILIES,RRD,RRD Steak &         Chimuchurri 150g,2/17/2019,2,5.4
57,MIDAGE SINGLES/FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,11/19/2018,2,7.6
58,YOUNG FAMILIES,Pringles,Pringles Mystery    Flavour 134g,2/5/2019,2,7.4
59,OLDER FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,9/25/2018,2,7.8
60,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,11/1/2018,2,3.4
61,RETIREES,RRD,RRD SR Slow Rst     Pork Belly 150g,4/3/2019,2,5.4
62,YOUNG FAMILIES,Pringles,Pringles Original   Crisps 134g,4/20/2019,2,7.4
63,RETIREES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,10/18/2018,2,7.6
64,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Original 175g,8/12/2018,2,3.4
65,YOUNG FAMILIES,RRD,RRD Salt & Vinegar  165g,8/21/2018,2,6
66,OLDER SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,7/10/2018,2,7.2
67,OLDER FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,5/12/2019,2,10.8
68,RETIREES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,6/2/2019,2,7.6
69,OLDER FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,7/14/2018,2,9.2
70,OLDER FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,2/19/2019,2,7.6
71,YOUNG SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,11/24/2018,2,7.2
72,OLDER FAMILIES,Red,Red Rock Deli Chikn&Garlic Aioli 150g,4/24/2019,2,5.4
73,RETIREES,Kettle,Kettle Honey Soy    Chicken 175g,9/20/2018,2,10.8
74,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,10/28/2018,2,9.2
75,RETIREES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,11/14/2018,2,7.6
76,MIDAGE FAMILIES,Doritos,Doritos Corn Chips  Original 170g,12/21/2018,2,8.8
77,YOUNG SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,12/5/2018,2,11.4
78,RETIREES,Grain,Grain Waves Sour    Cream&Chives 210G,10/12/2018,2,7.2
79,OLDER SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,4/17/2019,1,3.8
80,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,5/31/2019,2,7.6
81,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,2/21/2019,2,7.6
82,MIDAGE SINGLES/FAMILIES,Pringles,Pringles SourCream  Onion 134g,12/21/2018,2,7.4
83,MIDAGE SINGLES/FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,5/11/2019,2,7.8
84,YOUNG FAMILIES,Red,Red Rock Deli Sp    Salt & Truffle 150G,6/2/2019,2,5.4
85,MIDAGE FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,6/20/2019,2,7.6
86,YOUNG FAMILIES,Infuzions,Infuzions Mango     Chutny Papadums 70g,6/21/2019,2,4.8
87,OLDER FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,10/4/2018,2,9.2
88,RETIREES,WOOLWORTHS,WW D/Style Chip     Sea Salt 200g,3/14/2019,1,1.9
89,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Original 175g,6/1/2019,2,10.8
90,OLDER SINGLES/FAMILIES,Pringles,Pringles SourCream  Onion 134g,3/24/2019,2,7.4
91,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,8/16/2018,1,3.25
92,YOUNG FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,6/2/2019,2,7.6
93,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,10/20/2018,2,8.8
94,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,11/14/2018,2,8.8
95,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Cheese Supreme 170g,6/25/2019,2,8.8
96,YOUNG FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,8/23/2018,2,7.4
97,OLDER FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,3/17/2019,2,10.8
98,YOUNG FAMILIES,Pringles,Pringles Chicken    Salt Crips 134g,3/28/2019,2,7.4
99,OLDER FAMILIES,Tostitos,Tostitos Smoked     Chipotle 175g,10/17/2018,2,8.8
100,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/2/2019,1,4.6
101,YOUNG FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,2/23/2019,2,6
102,OLDER SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,3/10/2019,2,7.2
103,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Original Stacked Chips 160g,11/27/2018,2,3.8
104,RETIREES,Kettle,Kettle Sensations   Siracha Lime 150g,10/28/2018,2,9.2
105,MIDAGE SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,10/28/2018,1,3.8
106,YOUNG FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,3/8/2019,2,7.6
107,OLDER FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,7/22/2018,2,9.2
108,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,3/31/2019,2,10.8
109,YOUNG FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,6/7/2019,1,3.8
110,YOUNG FAMILIES,Kettle,Kettle Chilli 175g,2/13/2019,2,10.8
111,MIDAGE FAMILIES,Doritos,Doritos Corn Chips  Original 170g,4/23/2019,2,8.8
112,OLDER SINGLES/FAMILIES,Pringles,Pringles Chicken    Salt Crips 134g,7/17/2018,2,7.4
113,OLDER FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,12/14/2018,2,8.4
114,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/31/2019,2,9.2
115,OLDER FAMILIES,Kettle,Kettle Chilli 175g,11/8/2018,2,10.8
116,YOUNG FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,12/13/2018,2,3.4
117,OLDER SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,4/14/2019,2,7.4
118,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,4/29/2019,2,10.8
119,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,6/15/2019,2,9.2
120,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,12/5/2018,2,9.2
121,YOUNG FAMILIES,WOOLWORTHS,WW Original Corn    Chips 200g,3/28/2019,2,3.8
122,YOUNG SINGLES/FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,9/14/2018,2,6
123,YOUNG FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,6/14/2019,2,7.6
124,RETIREES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,6/1/2019,2,7.6
125,YOUNG SINGLES/FAMILIES,Pringles,Pringles Slt Vingar 134g,1/10/2019,1,3.7
126,OLDER FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,8/13/2018,2,13
127,YOUNG FAMILIES,Pringles,Pringles Barbeque   134g,10/2/2018,2,7.4
128,RETIREES,WOOLWORTHS,WW Original Stacked Chips 160g,6/7/2019,1,1.9
129,RETIREES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,9/17/2018,2,7.6
130,RETIREES,RRD,RRD Pc Sea Salt     165g,1/26/2019,2,6
131,RETIREES,Pringles,Pringles Chicken    Salt Crips 134g,10/4/2018,2,7.4
132,YOUNG FAMILIES,Red,Red Rock Deli Sp    Salt & Truffle 150G,3/18/2019,2,5.4
133,MIDAGE SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,9/27/2018,2,7.2
134,YOUNG SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,3/22/2019,1,3.6
135,YOUNG SINGLES/FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,9/15/2018,2,7.4
136,OLDER FAMILIES,Pringles,Pringles SourCream  Onion 134g,4/8/2019,2,7.4
137,RETIREES,Kettle,Kettle Sensations   BBQ&Maple 150g,9/11/2018,2,9.2
138,OLDER FAMILIES,RRD,RRD Pc Sea Salt     165g,1/13/2019,2,6
139,RETIREES,Kettle,Kettle Sensations   BBQ&Maple 150g,1/24/2019,2,9.2
140,YOUNG SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,3/25/2019,2,7.2
141,MIDAGE FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,4/24/2019,2,7.6
142,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,6/10/2019,2,8.8
143,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,7/31/2018,2,3.4
144,YOUNG FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,3/27/2019,2,7.4
145,YOUNG SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,8/3/2018,2,7.2
146,YOUNG SINGLES/FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,6/21/2019,2,7.4
147,OLDER FAMILIES,Doritos,Doritos Mexicana    170g,4/5/2019,2,8.8
148,OLDER SINGLES/FAMILIES,Kettle,Kettle Chilli 175g,12/14/2018,2,10.8
149,YOUNG FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,7/4/2018,2,9.2
150,OLDER FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,7/26/2018,2,10.8
151,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW D/Style Chip     Sea Salt 200g,7/6/2018,2,3.8
152,YOUNG SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,9/17/2018,2,7.2
153,RETIREES,Kettle,Kettle Original 175g,6/24/2019,2,10.8
154,OLDER FAMILIES,Kettle,Kettle Original 175g,5/6/2019,2,10.8
155,NEW FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,5/2/2019,1,3.9
156,YOUNG FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,7/17/2018,2,8.8
157,RETIREES,Kettle,Kettle 135g Swt Pot Sea Salt,9/12/2018,2,8.4
158,RETIREES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,4/3/2019,2,10.8
159,OLDER SINGLES/FAMILIES,Pringles,Pringles Slt Vingar 134g,12/16/2018,2,7.4
160,OLDER SINGLES/FAMILIES,Red,Red Rock Deli Chikn&Garlic Aioli 150g,2/7/2019,1,2.7
161,RETIREES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,7/18/2018,2,7.6
162,OLDER SINGLES/FAMILIES,RRD,RRD Chilli&         Coconut 150g,9/24/2018,2,5.4
163,YOUNG SINGLES/FAMILIES,Cheetos,Cheetos Puffs 165g,3/2/2019,1,2.8
164,YOUNG FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,6/16/2019,2,7.4
165,NEW SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,2/28/2019,2,7.6
166,OLDER FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,1/2/2019,2,7.6
167,YOUNG FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,10/22/2018,2,8.8
168,OLDER FAMILIES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,3/24/2019,2,10.8
169,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,12/18/2018,2,10.8
170,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,7/24/2018,2,9.2
171,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,6/8/2019,2,7.6
172,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,4/19/2019,2,13
173,RETIREES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,4/25/2019,2,7.6
174,NEW FAMILIES,Doritos,Doritos Mexicana    170g,3/4/2019,2,8.8
175,YOUNG SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,6/12/2019,2,13
176,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,9/12/2018,2,13
177,RETIREES,Kettle,Kettle Sensations   BBQ&Maple 150g,1/21/2019,2,9.2
178,YOUNG SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1/8/2019,2,7.6
179,RETIREES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,8/17/2018,1,4.6
180,OLDER SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,5/3/2019,2,13
181,OLDER FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,2/11/2019,2,7.2
182,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/13/2019,2,9.2
183,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,5/23/2019,2,7.6
184,YOUNG FAMILIES,RRD,RRD Pc Sea Salt     165g,11/17/2018,2,6
185,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,6/7/2019,2,7.6
186,RETIREES,Pringles,Pringles Slt Vingar 134g,8/5/2018,2,7.4
187,RETIREES,Pringles,Pringles Barbeque   134g,7/3/2018,2,7.4
188,OLDER FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,1/6/2019,2,7.4
189,OLDER FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,1/19/2019,2,8.8
190,YOUNG SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,5/22/2019,1,3.7
191,OLDER SINGLES/FAMILIES,Pringles,Pringles Slt Vingar 134g,8/30/2018,2,7.4
192,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Original 170g,12/27/2018,2,8.8
193,OLDER SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,5/10/2019,2,7.6
194,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,2/5/2019,2,9.2
195,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,10/30/2018,2,3.8
196,YOUNG FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,8/7/2018,2,8.8
197,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,8/2/2018,1,1.9
198,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,6/3/2019,2,7.6
199,YOUNG FAMILIES,Pringles,Pringles Barbeque   134g,10/24/2018,2,7.4
200,YOUNG SINGLES/FAMILIES,RRD,RRD Salt & Vinegar  165g,12/14/2018,2,6
201,OLDER SINGLES/FAMILIES,Cheetos,Cheetos Chs & Bacon Balls 190g,12/11/2018,2,6.6
202,OLDER FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,6/15/2019,2,7.6
203,OLDER FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,9/14/2018,2,7.6
204,YOUNG FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,5/6/2019,2,3.8
205,MIDAGE FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,2/13/2019,2,3.4
206,OLDER FAMILIES,Red,Red Rock Deli Sp    Salt & Truffle 150G,9/5/2018,2,5.4
207,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Original Corn    Chips 200g,6/21/2019,2,3.8
208,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,7/30/2018,2,8.8
209,OLDER FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,7/12/2018,2,3.6
210,YOUNG FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,3/30/2019,2,7.8
211,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,5/5/2019,2,9.2
212,MIDAGE SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,10/13/2018,2,13
213,RETIREES,Doritos,Doritos Corn Chip Southern Chicken 150g,12/30/2018,2,7.8
214,OLDER SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,2/16/2019,2,11.4
215,OLDER SINGLES/FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,3/24/2019,2,7.6
216,RETIREES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,4/8/2019,2,7.6
217,OLDER FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,5/11/2019,2,7.2
218,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,3/22/2019,2,7.6
219,YOUNG FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,12/7/2018,2,8.8
220,RETIREES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,11/18/2018,2,7.6
221,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,8/8/2018,2,7.4
222,YOUNG FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,10/13/2018,2,3.4
223,OLDER SINGLES/FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,11/2/2018,2,10.8
224,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,1/26/2019,2,9.2
225,RETIREES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,6/11/2019,2,7.6
226,MIDAGE FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,7/21/2018,2,10.8
227,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,7/21/2018,1,5.4
228,YOUNG SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,5/16/2019,2,9.2
229,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,8/13/2018,2,3.8
230,RETIREES,Pringles,Pringles Barbeque   134g,1/11/2019,1,3.7
231,YOUNG SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,1/25/2019,2,7.2
232,OLDER FAMILIES,Infuzions,Infuzions Mango     Chutny Papadums 70g,12/2/2018,2,4.8
