,category,product_brand,product_name,date,quantity,price
233,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,11/11/2018,2,7.6
234,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,3/2/2019,2,9.2
235,MIDAGE SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,9/16/2018,2,8.8
236,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,6/24/2019,2,9.2
237,OLDER FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,3/10/2019,2,7.6
238,RETIREES,WOOLWORTHS,WW Original Corn    Chips 200g,1/2/2019,2,3.8
239,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,9/24/2018,2,8.8
240,YOUNG FAMILIES,Doritos,Doritos Mexicana    170g,8/26/2018,2,8.8
241,RETIREES,Pringles,Pringles Slt Vingar 134g,11/1/2018,2,7.4
242,OLDER SINGLES/FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,11/25/2018,2,8.4
243,YOUNG FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,9/6/2018,2,13
244,MIDAGE SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,10/5/2018,2,7.6
245,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,2/27/2019,2,7.6
246,YOUNG SINGLES/FAMILIES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,1/20/2019,2,7.6
247,RETIREES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,7/11/2018,2,9.2
248,RETIREES,Kettle,Kettle Sensations   Siracha Lime 150g,7/1/2018,2,9.2
249,OLDER SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,11/22/2018,2,11.4
250,YOUNG SINGLES/FAMILIES,RRD,RRD Salt & Vinegar  165g,12/13/2018,1,3
251,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,6/25/2019,1,3.8
252,YOUNG SINGLES/FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,11/26/2018,2,10.8
253,RETIREES,Kettle,Kettle Sensations   Camembert & Fig 150g,3/7/2019,2,9.2
254,RETIREES,Kettle,Kettle Sensations   Camembert & Fig 150g,9/10/2018,2,9.2
255,MIDAGE FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,11/10/2018,1,3.8
256,RETIREES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,10/16/2018,2,8.8
257,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,7/22/2018,2,9.2
258,OLDER FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,11/15/2018,2,10.8
259,YOUNG FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,11/28/2018,2,7.6
260,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,9/22/2018,2,10.8
261,MIDAGE FAMILIES,Pringles,Pringles Mystery    Flavour 134g,4/19/2019,2,7.4
262,MIDAGE FAMILIES,Kettle,Kettle Original 175g,7/19/2018,2,10.8
263,OLDER SINGLES/FAMILIES,RRD,RRD Salt & Vinegar  165g,2/11/2019,2,6
264,OLDER SINGLES/FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,10/28/2018,2,6
265,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions Thai SweetChili PotatoMix 110g,3/31/2019,2,7.6
266,OLDER FAMILIES,Doritos,Doritos Cheese      Supreme 330g,10/15/2018,2,11.4
267,OLDER FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,11/20/2018,2,9.2
268,YOUNG SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Cheese Supreme 170g,3/13/2019,2,8.8
269,OLDER SINGLES/FAMILIES,Kettle,Kettle Original 175g,8/18/2018,1,5.4
270,YOUNG SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,1/1/2019,2,8.8
271,OLDER FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,3/23/2019,2,8.8
272,RETIREES,Infuzions,Infuzions Mango     Chutny Papadums 70g,11/29/2018,2,4.8
273,YOUNG SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,7/28/2018,2,7.4
274,YOUNG FAMILIES,Pringles,Pringles SourCream  Onion 134g,6/22/2019,2,7.4
275,OLDER FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,7/19/2018,2,7.8
276,RETIREES,RRD,RRD SR Slow Rst     Pork Belly 150g,7/2/2018,2,5.4
277,YOUNG FAMILIES,WOOLWORTHS,WW Original Corn    Chips 200g,8/10/2018,2,3.8
278,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1/31/2019,2,9.2
279,RETIREES,Tostitos,Tostitos Splash Of  Lime 175g,1/4/2019,2,8.8
280,YOUNG SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,7/10/2018,1,3.7
281,RETIREES,Kettle,Kettle Honey Soy    Chicken 175g,12/4/2018,2,10.8
282,OLDER FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,2/13/2019,2,8.8
283,OLDER SINGLES/FAMILIES,Kettle,Kettle Original 175g,11/29/2018,2,10.8
284,OLDER FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,12/18/2018,2,7.6
285,RETIREES,Dorito,Dorito Corn Chp     Supreme 380g,9/7/2018,2,13
286,YOUNG SINGLES/FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,10/23/2018,2,7.8
287,OLDER FAMILIES,RRD,RRD Lime & Pepper   165g,5/5/2019,2,6
288,YOUNG SINGLES/FAMILIES,Grain,Grain Waves Sour    Cream&Chives 210G,4/1/2019,2,7.2
289,OLDER SINGLES/FAMILIES,Infuzions,Infuzions Mango     Chutny Papadums 70g,10/10/2018,2,4.8
290,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,9/23/2018,2,10.8
291,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,9/13/2018,2,10.8
292,MIDAGE SINGLES/FAMILIES,Pringles,Pringles Barbeque   134g,1/16/2019,2,7.4
293,RETIREES,Cheetos,Cheetos Puffs 165g,4/7/2019,2,5.6
294,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Chicken 175g,2/12/2019,2,3.4
295,OLDER SINGLES/FAMILIES,RRD,RRD Honey Soy       Chicken 165g,7/7/2018,1,3
296,NEW FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,7/19/2018,2,6
297,OLDER SINGLES/FAMILIES,RRD,RRD Steak &         Chimuchurri 150g,6/9/2019,2,5.4
298,MIDAGE FAMILIES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,10/7/2018,2,10.8
299,RETIREES,RRD,RRD Steak &         Chimuchurri 150g,1/17/2019,2,5.4
300,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,2/3/2019,2,9.2
301,YOUNG SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Original 170g,1/9/2019,1,4.4
302,OLDER SINGLES/FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,10/4/2018,2,7.4
303,RETIREES,Pringles,Pringles Barbeque   134g,8/27/2018,2,7.4
304,OLDER SINGLES/FAMILIES,Pringles,Pringles Mystery    Flavour 134g,9/13/2018,2,7.4
305,YOUNG SINGLES/FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,3/28/2019,2,6
306,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,9/18/2018,2,7.4
307,YOUNG FAMILIES,Red,Red Rock Deli Thai  Chilli&Lime 150g,6/2/2019,2,5.4
308,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Original 170g,3/6/2019,2,8.8
309,YOUNG SINGLES/FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,2/20/2019,2,7.6
310,YOUNG SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,5/18/2019,1,3.6
311,MIDAGE FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,12/17/2018,2,7.4
312,RETIREES,RRD,RRD Honey Soy       Chicken 165g,4/9/2019,2,6
313,RETIREES,Kettle,Kettle Sea Salt     And Vinegar 175g,6/14/2019,2,10.8
314,RETIREES,Kettle,Kettle Sensations   Siracha Lime 150g,7/16/2018,2,9.2
315,OLDER FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,7/12/2018,2,8.8
316,NEW SINGLES/FAMILIES,Kettle,Kettle Chilli 175g,10/20/2018,2,10.8
317,YOUNG FAMILIES,Red,Red Rock Deli Thai  Chilli&Lime 150g,6/27/2019,2,5.4
318,RETIREES,Grain,Grain Waves Sour    Cream&Chives 210G,8/17/2018,1,3.6
319,OLDER SINGLES/FAMILIES,Doritos,Doritos Mexicana    170g,4/2/2019,2,8.8
320,YOUNG FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,7/25/2018,2,7.4
321,YOUNG SINGLES/FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,5/2/2019,2,10.8
322,OLDER FAMILIES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,5/6/2019,2,7.6
323,RETIREES,Doritos,Doritos Corn Chips  Original 170g,5/12/2019,2,8.8
324,RETIREES,Woolworths,Woolworths Cheese   Rings 190g,12/9/2018,2,3.6
325,YOUNG FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,6/18/2019,2,8.8
326,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Smoked     Chipotle 175g,7/1/2018,2,8.8
327,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,8/28/2018,1,4.6
328,RETIREES,RRD,RRD Lime & Pepper   165g,1/12/2019,2,6
329,OLDER FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,11/3/2018,2,7.6
330,OLDER SINGLES/FAMILIES,Kettle,Kettle Original 175g,3/10/2019,2,10.8
331,OLDER FAMILIES,Red,Red Rock Deli Chikn&Garlic Aioli 150g,4/12/2019,2,5.4
332,YOUNG FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,8/8/2018,2,7.8
333,YOUNG SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,9/1/2018,2,8.8
334,RETIREES,Doritos,Doritos Corn Chips  Cheese Supreme 170g,9/1/2018,2,8.8
335,YOUNG SINGLES/FAMILIES,Kettle,Kettle Sea Salt     And Vinegar 175g,1/1/2019,2,10.8
336,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,8/21/2018,2,7.4
337,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,11/7/2018,2,8.8
338,YOUNG SINGLES/FAMILIES,Kettle,Kettle Sensations   BBQ&Maple 150g,1/29/2019,2,9.2
339,OLDER SINGLES/FAMILIES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,7/17/2018,2,7.6
340,RETIREES,Pringles,Pringles Barbeque   134g,9/23/2018,2,7.4
341,OLDER FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,9/19/2018,2,3.6
342,YOUNG FAMILIES,Kettle,Kettle Chilli 175g,9/30/2018,2,10.8
343,RETIREES,Cobs,Cobs Popd Sea Salt  Chips 110g,8/21/2018,2,7.6
344,RETIREES,WOOLWORTHS,WW Sour Cream &OnionStacked Chips 160g,4/4/2019,2,3.8
345,YOUNG SINGLES/FAMILIES,Dorito,Dorito Corn Chp     Supreme 380g,5/10/2019,2,13
346,RETIREES,Pringles,Pringles SourCream  Onion 134g,7/6/2018,1,3.7
347,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,10/16/2018,2,9.2
348,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,5/4/2019,2,8.8
349,YOUNG FAMILIES,RRD,RRD Salt & Vinegar  165g,8/26/2018,2,6
350,OLDER FAMILIES,RRD,RRD Chilli&         Coconut 150g,1/26/2019,2,5.4
351,OLDER FAMILIES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,6/6/2019,2,10.8
352,YOUNG FAMILIES,Cheetos,Cheetos Chs & Bacon Balls 190g,9/18/2018,2,6.6
353,MIDAGE SINGLES/FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,8/2/2018,2,7.4
354,OLDER FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,7/31/2018,2,6
355,RETIREES,RRD,RRD SR Slow Rst     Pork Belly 150g,3/5/2019,2,5.4
356,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,9/28/2018,2,8.8
357,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Smoked     Chipotle 175g,2/9/2019,2,8.8
358,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,12/31/2018,2,9.2
359,OLDER SINGLES/FAMILIES,Red,Red Rock Deli Thai  Chilli&Lime 150g,7/27/2018,2,5.4
360,OLDER FAMILIES,Pringles,Pringles Slt Vingar 134g,8/18/2018,1,3.7
361,RETIREES,Pringles,Pringles Original   Crisps 134g,7/15/2018,2,7.4
362,YOUNG SINGLES/FAMILIES,Kettle,Kettle Original 175g,12/15/2018,2,10.8
363,OLDER SINGLES/FAMILIES,Cheetos,Cheetos Puffs 165g,7/20/2018,2,5.6
364,YOUNG SINGLES/FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,10/4/2018,1,3.9
365,OLDER FAMILIES,Pringles,Pringles Original   Crisps 134g,3/30/2019,2,7.4
366,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,2/22/2019,2,9.2
367,OLDER SINGLES/FAMILIES,Kettle,Kettle Sensations   Camembert & Fig 150g,2/9/2019,2,9.2
368,RETIREES,Pringles,Pringles Mystery    Flavour 134g,9/12/2018,2,7.4
369,YOUNG SINGLES/FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,3/4/2019,2,8.4
370,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,11/27/2018,2,7.8
371,OLDER SINGLES/FAMILIES,RRD,RRD Honey Soy       Chicken 165g,5/14/2019,1,3
372,OLDER FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,2/6/2019,2,6
373,YOUNG FAMILIES,Red,Red Rock Deli Chikn&Garlic Aioli 150g,7/11/2018,2,5.4
374,RETIREES,Pringles,Pringles Sthrn FriedChicken 134g,5/31/2019,2,7.4
375,OLDER FAMILIES,Pringles,Pringles Slt Vingar 134g,6/14/2019,2,7.4
376,YOUNG FAMILIES,Pringles,Pringles SourCream  Onion 134g,2/11/2019,2,7.4
377,OLDER FAMILIES,Pringles,Pringles Barbeque   134g,2/3/2019,2,7.4
378,YOUNG SINGLES/FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,5/31/2019,2,7.4
379,OLDER SINGLES/FAMILIES,WOOLWORTHS,WW Supreme Cheese   Corn Chips 200g,10/30/2018,2,3.8
380,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsFeta&Garlic 150g,7/24/2018,2,9.2
381,MIDAGE FAMILIES,RRD,RRD Pc Sea Salt     165g,3/23/2019,2,6
382,YOUNG SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Nacho Cheese 170g,9/5/2018,2,8.8
383,YOUNG FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,3/8/2019,2,7.4
384,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Crinkle Cut      Original 175g,4/17/2019,2,3.4
385,OLDER FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,11/10/2018,2,7.6
386,OLDER SINGLES/FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,10/2/2018,2,9.2
387,OLDER SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,2/26/2019,2,7.4
388,YOUNG FAMILIES,Kettle,Kettle 135g Swt Pot Sea Salt,3/3/2019,2,8.4
389,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Original 170g,2/25/2019,2,8.8
390,MIDAGE FAMILIES,Tostitos,Tostitos Lightly    Salted 175g,4/24/2019,2,8.8
391,YOUNG SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,10/14/2018,1,3.8
392,YOUNG SINGLES/FAMILIES,RRD,RRD SR Slow Rst     Pork Belly 150g,12/11/2018,2,5.4
393,RETIREES,Doritos,Doritos Mexicana    170g,5/12/2019,2,8.8
394,RETIREES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,4/3/2019,1,3.8
395,RETIREES,Red,Red Rock Deli Chikn&Garlic Aioli 150g,1/28/2019,2,5.4
396,OLDER SINGLES/FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,1/28/2019,2,10.8
397,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,1/28/2019,2,8.8
398,RETIREES,Pringles,Pringles Original   Crisps 134g,2/25/2019,2,7.4
399,YOUNG SINGLES/FAMILIES,Pringles,Pringles SourCream  Onion 134g,4/26/2019,2,7.4
400,OLDER FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,1/20/2019,1,3.9
401,OLDER SINGLES/FAMILIES,Doritos,Doritos Mexicana    170g,7/4/2018,2,8.8
402,RETIREES,Kettle,Kettle Original 175g,8/29/2018,2,10.8
403,NEW FAMILIES,Infzns,Infzns Crn Crnchers Tangy Gcamole 110g,5/23/2019,2,7.6
404,MIDAGE SINGLES/FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,7/24/2018,2,3.6
405,OLDER SINGLES/FAMILIES,Grain,Grain Waves         Sweet Chilli 210g,10/21/2018,2,7.2
406,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,4/18/2019,2,9.2
407,NEW FAMILIES,Pringles,Pringles Sthrn FriedChicken 134g,9/15/2018,2,7.4
408,YOUNG FAMILIES,RRD,RRD Honey Soy       Chicken 165g,9/15/2018,2,6
409,OLDER FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,9/9/2018,2,7.6
410,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,9/23/2018,2,10.8
411,YOUNG SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,4/30/2019,2,8.8
412,YOUNG SINGLES/FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,3/21/2019,2,10.8
413,OLDER SINGLES/FAMILIES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,11/20/2018,2,10.8
414,YOUNG SINGLES/FAMILIES,Tostitos,Tostitos Smoked     Chipotle 175g,9/15/2018,2,8.8
415,RETIREES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,11/13/2018,2,7.6
416,OLDER SINGLES/FAMILIES,Doritos,Doritos Cheese      Supreme 330g,12/3/2018,2,11.4
417,OLDER FAMILIES,Doritos,Doritos Corn Chip Mexican Jalapeno 150g,11/8/2018,1,3.9
418,YOUNG FAMILIES,Doritos,Doritos Corn Chips  Original 170g,2/8/2019,2,8.8
419,YOUNG SINGLES/FAMILIES,Kettle,Kettle Chilli 175g,6/27/2019,2,10.8
420,RETIREES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,9/13/2018,2,10.8
421,OLDER FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,3/1/2019,2,10.8
422,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Sea Salt  Chips 110g,5/15/2019,1,3.8
423,OLDER FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,8/13/2018,1,4.6
424,RETIREES,Infuzions,Infuzions SourCream&Herbs Veg Strws 110g,3/10/2019,2,7.6
425,MIDAGE FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,6/2/2019,2,9.2
426,YOUNG FAMILIES,RRD,RRD Chilli&         Coconut 150g,8/27/2018,2,5.4
427,RETIREES,Doritos,Doritos Corn Chips  Original 170g,10/13/2018,2,8.8
428,RETIREES,Kettle,Kettle Sweet Chilli And Sour Cream 175g,12/3/2018,1,5.4
429,YOUNG FAMILIES,Pringles,Pringles Original   Crisps 134g,6/28/2019,2,7.4
430,OLDER SINGLES/FAMILIES,Kettle,Kettle Original 175g,7/13/2018,2,10.8
431,MIDAGE SINGLES/FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,10/18/2018,2,10.8
432,YOUNG SINGLES/FAMILIES,Cobs,Cobs Popd Sour Crm  &Chives Chips 110g,10/14/2018,2,7.6
433,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsHny&Jlpno Chili 150g,1/29/2019,2,9.2
434,YOUNG SINGLES/FAMILIES,WOOLWORTHS,WW Original Stacked Chips 160g,9/14/2018,2,3.8
435,YOUNG SINGLES/FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,8/14/2018,2,9.2
436,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chips  Cheese Supreme 170g,3/28/2019,2,8.8
437,NEW SINGLES/FAMILIES,Kettle,Kettle Mozzarella   Basil & Pesto 175g,5/25/2019,2,10.8
438,RETIREES,Doritos,Doritos Corn Chip Southern Chicken 150g,9/19/2018,2,7.8
439,YOUNG FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,5/16/2019,5,19
440,OLDER FAMILIES,Pringles,Pringles Original   Crisps 134g,11/12/2018,2,7.4
441,OLDER FAMILIES,RRD,RRD Chilli&         Coconut 150g,6/14/2019,2,5.4
442,OLDER FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,3/2/2019,2,9.2
443,YOUNG SINGLES/FAMILIES,Pringles,Pringles Sweet&Spcy BBQ 134g,10/4/2018,2,7.4
444,OLDER SINGLES/FAMILIES,Woolworths,Woolworths Cheese   Rings 190g,1/26/2019,2,3.6
445,YOUNG SINGLES/FAMILIES,Kettle,Kettle Chilli 175g,9/5/2018,1,5.4
446,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,8/7/2018,2,7.6
447,OLDER FAMILIES,Doritos,Doritos Mexicana    170g,6/14/2019,2,8.8
448,YOUNG FAMILIES,WOOLWORTHS,WW Crinkle Cut      Original 175g,6/16/2019,2,3.4
449,YOUNG FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,5/3/2019,2,9.2
450,MIDAGE SINGLES/FAMILIES,RRD,RRD Honey Soy       Chicken 165g,4/8/2019,2,6
451,MIDAGE FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,12/27/2018,2,7.6
452,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,8/7/2018,2,8.8
453,YOUNG FAMILIES,Kettle,Kettle Honey Soy    Chicken 175g,6/17/2019,2,10.8
454,NEW FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,7/9/2018,2,7.6
455,OLDER SINGLES/FAMILIES,Doritos,Doritos Corn Chip Southern Chicken 150g,11/5/2018,2,7.8
456,OLDER FAMILIES,RRD,RRD Sweet Chilli &  Sour Cream 165g,12/5/2018,2,6
457,YOUNG FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,10/23/2018,2,9.2
458,YOUNG FAMILIES,Infuzions,Infuzions BBQ Rib   Prawn Crackers 110g,2/9/2019,2,7.6
459,YOUNG FAMILIES,Kettle,Kettle Sensations   Siracha Lime 150g,7/24/2018,2,9.2
460,MIDAGE SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,1/29/2019,2,7.6
461,OLDER FAMILIES,Kettle,Kettle Tortilla ChpsBtroot&Ricotta 150g,5/20/2019,5,23
462,OLDER SINGLES/FAMILIES,Pringles,Pringles Original   Crisps 134g,12/14/2018,1,3.7
463,RETIREES,Pringles,Pringles SourCream  Onion 134g,2/12/2019,2,7.4
464,OLDER SINGLES/FAMILIES,Tostitos,Tostitos Splash Of  Lime 175g,5/24/2019,2,8.8
465,YOUNG SINGLES/FAMILIES,Pringles,Pringles Barbeque   134g,3/26/2019,2,7.4
466,OLDER SINGLES/FAMILIES,Cobs,Cobs Popd Swt/Chlli &Sr/Cream Chips 110g,5/17/2019,2,7.6
